titulos,base,recommend,analysi,predict,learn,effect,rat,trailer,genr,success,model,network,visual,review,content,citas,referencias,clase
movie recommendation system based on movie swarm,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,14,Proceedings Paper
"dynamic effects among movie ratings, movie revenues, and viewer satisfaction",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,192,57,Article
movie description,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,9,Proceedings Paper
movie success prediction using data mining,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,22,29,Article
movies,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,5,7,Proceedings Paper
exploiting character networks for movie summarization,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-,32,Proceedings Paper
traditional culture in chinese movies: the case of movies shot in huizhou,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,23,Article
feng xiaogangs movie economy operation,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-,13,Proceedings Paper
movie summarization using characters network analysis,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,15,Proceedings Paper
attributes in a movie trailer that constitutes purchase intention,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,34,Proceedings Paper
the effects of movie awards on movie success: a replication using golden globe data,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,26,48,Article
movieswarm: information mining technique for movie recommendation system,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,12,Article
grid movies,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,36,Article
a multimedia based movie style model,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,18,Proceedings Paper
hypotheses of relationships between elements in movie trailers with purchase intention of movie tickets,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,50,Article
visual movie analytics,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,49,Article
analysis of video-movies using support vector regression,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,-,15,Proceedings Paper
the effect of positive and negative movie alcohol portrayals on transportation and attitude toward the movie,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,10,Proceedings Paper
do violent movies scare away potential visitors?,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,28,Article
the comparative studies of the kungfu movies and the super hero movies in the cultural field,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,17,20,Article
scoring music for montage movies,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,14,13,Article
movie genre preference and culture,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-,19,Proceedings Paper
accessing movies emotional information,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,Proceedings Paper
parental desensitization to violence and sex in movies,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,-,5,Proceedings Paper
uncovering the effects of digital movie format availability on physical movie sales,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,43,Article
the impact of movie titles on box office success,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,2,12,Proceedings Paper
subtitled and unsubtitled movie and listening comprehension,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-,7,Proceedings Paper
large-field high-resolution mosaic movies,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,11,Article
a flexible query answering system for movie analytics,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-,13,Proceedings Paper
movie industry demand and theater availability,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-,8,Proceedings Paper
large-field high-resolution mosaic movies,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,18,94,Article
the characteristics of indonesian multicultural movie audiences in post-1998: a study of the yogyakarta movie community,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,46,Article
movie success prediction using ml,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,57,Article
frequency and duration of smoking scenes in turkish movies,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,35,Article
sentiment analysis on movie reviews,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,5,16,Proceedings Paper
do expert reviews affect the decision to see motion pictures in movie theatres? an experimental approach,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,13,Proceedings Paper
script-to-movie: a computational framework for story movie composition,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,27,Article
learning about movies: the impact of movie release types on the nationwide box office,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,17,Proceedings Paper
an algorithm for movie classification and recommendation using genre correlation,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,-,10,Proceedings Paper
home movies in participatory research: children as movie-makers,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3,12,Proceedings Paper
consumption of movie experience: cognitive and affective approaches,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,76,37,Article
movie variety and the city,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,-,20,Proceedings Paper
a machine learning based movie status evaluation system for bangladesh movies,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,12,Proceedings Paper
making short movie using 3d professional camera,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,60,Article
movie retrieval based on shazam algorithm,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,75,Article
movie trailer analysis based on editing features of movies,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,10,Proceedings Paper
a movie summary generation system,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,23,28,Article
accessing movies based on emotional impact,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,9,18,Proceedings Paper
genre specific aspect based sentiment analysis of movie reviews,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,12,Proceedings Paper
analysis of accordion application in movie art,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,42,Article
discussion on the ideological characteristics of american movies,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,Proceedings Paper
madness at the movies: prioritised movies for self-directed learning by medical students,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,9,Proceedings Paper
a novel method to measure the reliability of the bollywood movie rating system,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,32,Proceedings Paper
movie rating system based on blockchain,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15,Proceedings Paper
movie piracy: displacement and its impact on legitimate sales in india,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,2,38,Proceedings Paper
movies in education of psychiatry residents,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,Proceedings Paper
admiring american fantasy movies by beauty and beast,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-,7,Proceedings Paper
the effectiveness of movie trailer advertising,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,3,58,Article
indonesian movie industry after the reformation era,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-,13,Proceedings Paper
a framework for representing and producing movies on quantum computers,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,-,18,Proceedings Paper
smoking portrayal in ethiopian movies: a theory-based content analysis,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,5,Proceedings Paper
a multimodal approach for multi-label movie genre classification,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-,46,Article
application of conceptual costume show on the sci-fi movies,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,41,Article
"limited potential use of best peace themed movies in peace education, as determined by movie advisory boards",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,19,Proceedings Paper
movrec: a personalized movie recommendation system for children based on online movie features,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,39,33,Article
role of different factors in predicting movie success,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-,5,Proceedings Paper
camo: a context-aware movie ontology generated from lod and movie databases,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-,5,Proceedings Paper
understanding movie streaming websites in indonesia as unlimited movie access in the digital era,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,4,16,Proceedings Paper
local consumers reception of imported and domestic movies in the korean movie market,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,-,39,Article
analyzing movie scripts as unstructured text,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,11,Proceedings Paper
teaching quality in cinema: semblances and contrasts between fiction movies and documentary movies,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,Proceedings Paper
"movie popularity classification based on inherent movie attributes using c4.5, part and correlation coefficient",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-,20,Article
exploiting user reviews for automatic movie tagging,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,42,45,Article
movie recommendation via blstm,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,Proceedings Paper
large-scale multimodal movie dialogue corpus,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,-,36,Article
multi-model or single-model? a study of movie box-office revenue prediction,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,10,Article
personal information prediction based on movie rating data,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,Proceedings Paper
stem in movies: female preservice teachers perspectives on movie hidden figures,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,2,9,Proceedings Paper
modernity: the ultimate problem of contemporary science fiction movies taking the movie blade runner: 2049 as an example,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,55,Article
the role of user mood in movie recommendations,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-,7,Proceedings Paper
mining movie archives for song sequences,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,10,7,Proceedings Paper
the role of technology in survival movies,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,7,23,Proceedings Paper
movie derivatives market development research,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-,17,Proceedings Paper
regional diversities and movie title translation,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-,2,Proceedings Paper
a unified audio analysis framework for movie genre classification using movie trailers,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15,36,Article
genre fraction detection of a movie using text mining,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,-,9,Proceedings Paper
to comprehend movie theatres in accompany with oral history in turkey,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-,4,Proceedings Paper
reconstruction of travel movies using emotional arcs,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,7,29,Proceedings Paper
mpst: a corpus of movie plot synopses with tags,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,-,13,Proceedings Paper
investigating the influence of audiences movie-viewing motives on attitude towards brand placement in movies,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,24,Article
the victim throughout american movies,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,12,Proceedings Paper
estimating audience engagement to predict movie ratings,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,9,16,Proceedings Paper
"movie aspects, tweet metrics, and movie revenues: the influence of ios vs. android",1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,-,18,Proceedings Paper
innovation in social media strategy for movie success a study of the bollywood movie industry,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-,25,Article
prediction of movie playback based on ordinal support vector machine classification,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-,30,Proceedings Paper
research on application of artificial intelligence in movie industry,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,Proceedings Paper
movie recommendation based on bridging movie feature and user interest,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,16,50,Article
